TimeSinceMark,CurrentStage,AltitudeASL,DownRange,SpeedSurface,SpeedOrbital,Mass,Acceleration,Q,AoA,AoS,AoD,AltitudeTrue,Pitch,GravityLosses,DragLosses,SteeringLosses,DeltaVExpended
0,11,84.9573887970997,0.00894069671630859,0.192134784443969,174.963935109436,493.407851860095,1.15578457274509,0.0093729139040936,-0.247331916504909,-0.366544856613934,0.442971887353087,12.466408455061,89.9658294677734,0,0,0,0
0.0199999999895226,11,84.9629410185618,0,0.267795417883925,174.963324046603,493.349289760161,1.18794315782683,0.0208339880307293,-0.303855562854804,-0.435064740945667,0.531773234513958,12.4679157360026,89.9653015136719,0.000851486340962326,3.03611683413992E-07,0.320175517101073,0.321354064207106
0.239999999874271,11,85.1764103994356,0,1.57985594415765,174.952080928172,492.707176074553,1.5419724641504,1.1973384982918,-0.690035818176774,-0.785396974281859,1.0449553383538,12.5795004603837,89.9746704101563,0.0195536123929,1.65785339499097E-05,3.82850783730878,3.85877080233952
0.45999999975902,11,85.6949373858166,0.00894069671630859,2.97342585116764,174.959475429897,492.068059370089,1.64065893717408,4.59110981363222,-0.567987743120543,-0.667830208087036,0.876333286663405,12.972786027164,89.9451477050781,0.0554350787071304,7.61561438571838E-05,7.31074879671124,7.40080750599124
0.679999999643769,11,86.5207687517162,0.00894069671630859,4.37164236935882,175.000804194807,491.426828488875,1.64306196904237,10.2070771872702,-0.243997575349928,-0.344344264802213,0.421712206258416,13.6728030863905,89.8961090087891,0.108548144522202,0.000198941481298679,10.7668517291836,10.9474981337196
0.899999999528518,11,87.6546588831581,0.0126440545532682,5.77382448219408,175.059379715868,490.787085458804,1.64492954053608,18.0590768870389,-0.0169702888249711,-0.114043234002292,0.120066349426056,14.6805956102861,89.8753784179687,0.17892317842855,0.000406218286535922,14.1980241505122,14.4988719297303
1.11999999941327,11,89.0977674344787,0,7.18233631495676,175.123172470148,490.149476096201,1.64766501960192,28.1834164839536,0.0791519286885151,-0.0143277074923526,0.0795570800293302,15.9970857681695,89.8769714355469,0.26662186052232,0.000728419421760086,17.6051720647838,18.0549426438209
1.33999999929802,11,90.8514149556286,0,8.59622699012797,175.191132849365,489.511789784003,1.65015577343016,40.6003403949017,0.0993285412674721,0.00738089743387823,0.0977084545578651,17.6235914553772,89.8857147216797,0.37169607063778,0.00119484657636466,20.9885030378877,21.6157314863738
1.55999999918276,11,92.9166778644081,0,10.0147029143225,175.267934705085,488.87442384677,1.65230675502611,55.3230690671641,0.0979141399739613,0.00558425712922489,0.0958711636190962,19.5612873759936,89.8925811767578,0.494182755281779,0.00183147386280614,24.347797436999,25.1812676433631
1.77999999906751,11,95.2945712621324,0.0126440545532682,11.4378549436621,175.357306509595,488.237249478865,1.65445433015854,72.371235428671,0.10069691439309,0.00659682622566522,0.0970617132723745,21.8111965660169,89.8949615478516,0.634113867820559,0.00266618711169045,27.6828175455398,28.7515788692792
1.99999999895226,11,97.9861200882355,0.0236548600590043,12.8656191316819,175.459481675282,487.600045785475,1.6565841988145,91.7625076629634,0.107599965731769,0.0113668876175165,0.105939918091338,24.374339707311,89.8993530273438,0.791516518350578,0.00372777675741793,30.9934472164803,32.3266925437479
2.21999999883701,11,100.992336209561,0.0357627868652344,14.2979774747586,175.573771123946,486.962866887618,1.65870487208967,113.514221511453,0.114916847959048,0.0166097690896732,0.113250127917206,27.2517383611028,89.9035095214844,0.966414340152408,0.00504503886166055,34.2796446267607,35.9066386106905
2.43999999872176,11,104.314231820731,0.0497796925559344,15.7349466378749,175.699592366678,486.325693711806,1.66082980115275,137.643737969905,0.12025143840872,0.019949147213319,0.118837443054196,30.4444018484594,89.9085144042969,1.15882812047912,0.0066465637899242,37.5413743400451,39.4914469519759
2.65999999860651,11,107.95282128976,0.0632202727663411,17.1765177907364,175.836834570705,485.688481912184,1.66295147314242,164.167570849591,0.123228204745899,0.020869258638842,0.122410421311617,33.9533455188375,89.9137756347656,1.36877516332166,0.00856090692773109,40.7785727640123,43.0811464735211
2.87999999849126,11,111.909117874748,0.0763893462298888,18.6226931276168,175.985749654125,485.051309451628,1.66507317495545,193.101808456575,0.124562918710667,0.0200334626102668,0.123851407650453,37.7795807794807,89.9173095703125,1.59626895416975,0.0108168100591693,43.9911528513959,46.6757670947645
3.09999999837601,11,116.184136876452,0.0933436141214719,20.0734769572256,176.14665166906,484.414131745863,1.66719503818928,224.462133112621,0.12511930863838,0.0182673852814375,0.12493185676176,41.9241225908184,89.9227172851563,1.84131900735181,0.0134433640791988,47.1790216448256,50.2753387433043
3.31999999826076,11,120.778892940131,0.108768269961445,21.5288788479667,176.319763276019,483.776923284102,1.66931901599477,258.263729723242,0.125444577611527,0.0161415023196075,0.124008790749701,46.387986445555,89.9276397705078,2.10393093301903,0.0164700606365677,50.3420960500366,53.8798913074554
3.5399999981455,11,125.69440208103,0.125806754345926,22.988901271685,176.505180570457,483.139747247267,1.67144448956922,294.521131551075,0.12565865122092,0.0138538880464194,0.124162410078269,51.1721868961712,89.9306732177734,2.38410650074101,0.0199267027328912,53.4803070144269,57.4894546831954
3.75999999803025,11,130.931677972456,0.143330271916522,24.4535462022433,176.7029262658,482.502542600203,1.67356914605357,333.248338812285,0.125708264354687,0.0113824358779931,0.123056287437567,56.2777391970204,89.9335845947266,2.6818437287576,0.0238433166474171,56.5935977831376,61.1040593628072
